frase_id;ord;token;pos;lema
1;1;minoria;n;minoria
1;2;doente;adj;doente
1;3;LGBT;N;lgbt
1;4;quer;v-fin;querer
1;5;impor;v-inf;impor
1;6;doenças;n;doença
1;7;mentais;adj;mental
1;8;pessoas;n;pessoa
1;9;normais;adj;normal
1;10;dar;v-inf;dar
1;11;mal;adv;mal
2;1;merda;n;merda
2;2;transformers;N;tram
2;3;LGBTs;N;lgbt
2;4;já;adv;já
2;5;passou;v-fin;passar
2;6;limites;n;limite
2;7;loucura;N;loucura
2;8;Acabem;N;acabem
2;9;maioria;n;maioria
2;10;povos;n;povo
2;11;já;adv;já
2;12;não;adv;não
2;13;pode;v-fin;poder
2;14;ouvir;v-inf;ouvir
2;15;falar;v-inf;falar
2;16;sequer;adv;sequer
2;17;compreende;v-fin;compreender
2;18;reflete-;N;reflete
2;19;eleições;n;eleição
2;20;países;n;paí
3;1;psicóloga;N;psicólogo
3;2;não-binário;N;não-binário
3;3;consulta;n;consulta
3;4;farei;v-fin;fazer
3;5;compreender;v-inf;compreender
3;6;indivíduo;n;indivíduo
3;7;momento;n;momento
3;8;acharei;N;acharei
3;9;normal;adj;normal
4;1;passado;v-pcp;passar
4;2;televisão;n;televisão
4;3;simplesmente;adv;simplesmente
4;4;vergonhoso;N;vergonhoso
4;5;Nunca;adv;nunca
4;6;mais;adv;mal
4;7;acaba;v-fin;acabar
4;8;doença;n;doença
5;1;porcaria;N;porcaria
5;2;passa;v-fin;passar
5;3;televisão;n;televisão
5;4;causa;n;causa
5;5;merda;n;merda
5;6;crianças;n;criança
5;7;estão;v-fin;estão
5;8;confusas;N;confusa
5;9;extraterrestre;N;extraterrestre
6;1;palhaçada;N;palhaçado
6;2;sinto-;v-fin;sentir
6;3;XYZ;N;xyz
6;4;já;adv;já
6;5;deixou;v-fin;deixar
6;6;graça;n;graça
6;7;só;adv;só
6;8;dar;v-inf;dar
6;9;pontapé;N;pontapé
6;10;pedra;n;pedra
6;11;aparece;v-fin;aparecer
6;12;logo;adv;logo
6;13;mulher;n;homem
6;14;cromossomas;N;cromossoma
6;15;Fogo;n;fogo
7;1;Epá;N;epá
7;2;deixem-;N;deixem
7;3;merdas;N;merda
7;4;homem;n;homem
7;5;homem;n;homem
7;6;mesmo;adv;mesmo
7;7;vista;n;vista
7;8;saias;N;saia
7;9;fim;n;fim
7;10;vida;n;vida
7;11;mundo;n;mundo
7;12;precisa;v-fin;precisar
7;13;Trump;N;trump
